Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_damage__per__round,m_deaths__per__round,m_dpr,m_grenade_dmg__per__round,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_2.0,m_rounds_played,m_saved_by_teammate__per__round,m_saved_teammates__per__round,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5,MVPs,EVPs,Rank
s1mple,87.2,0.1,87.4,0.11,87.4,0.59,0.59,2.7,41.7,1.41,1.47,76.0,0.87,0.87,155.0,1.34,1.34,3978.0,0.07,0.11,2360.0,3467.0,1.29,1.32,1.32,1.34,87.2,0.59,0.59,2.3,40.3,1.42,1.49,76.4,0.88,0.88,87.0,0.12,87.0,0.59,0.59,3.2,38.5,1.35,1.46,79.5,0.87,0.87,23.0,1.34,1.34,518.0,0.08,0.1,308.0,449.0,1.25,1.32,1.32,1.32,253.0,1.35,1.35,6600.0,0.08,0.12,3888.0,5804.0,1.3,1.34,1.34,1.35,6,4,1
device,81.4,0.12,80.8,0.12,80.8,0.59,0.59,5.1,32.3,1.3,1.34,73.3,0.78,0.78,160.0,1.24,1.24,4113.0,0.08,0.08,2409.0,3218.0,1.21,1.24,1.23,1.23,81.4,0.6,0.6,5.2,33.2,1.31,1.32,72.5,0.79,0.79,80.8,0.14,80.8,0.57,0.57,5.0,29.5,1.25,1.35,74.1,0.78,0.78,18.0,1.23,1.23,468.0,0.08,0.09,269.0,363.0,1.13,1.16,1.22,1.23,258.0,1.23,1.23,6719.0,0.07,0.08,4022.0,5307.0,1.21,1.24,1.24,1.23,7,1,2
NiKo,84.8,0.13,86.6,0.13,86.6,0.63,0.63,3.6,48.3,1.31,1.29,73.1,0.82,0.82,154.0,1.25,1.25,4036.0,0.08,0.11,2560.0,3302.0,1.2,1.23,1.23,1.24,84.8,0.64,0.64,3.8,48.7,1.27,1.25,72.1,0.8,0.8,85.0,0.14,85.0,0.64,0.64,3.9,54.4,1.25,1.25,71.8,0.8,0.8,22.0,1.23,1.23,586.0,0.09,0.11,374.0,467.0,1.09,1.22,1.21,1.21,254.0,1.22,1.22,6670.0,0.08,0.11,4278.0,5334.0,1.17,1.2,1.21,1.21,2,7,3
electronic,84.5,0.14,82.2,0.13,82.2,0.63,0.63,4.6,48.7,1.16,1.19,73.3,0.75,0.75,155.0,1.17,1.17,3978.0,0.09,0.1,2505.0,2970.0,1.12,1.14,1.16,1.17,84.5,0.63,0.63,4.4,49.8,1.18,1.23,74.5,0.77,0.77,85.4,0.14,85.4,0.59,0.59,5.2,46.4,1.25,1.31,74.7,0.78,0.78,23.0,1.24,1.24,518.0,0.09,0.1,308.0,405.0,1.12,1.17,1.24,1.24,263.0,1.21,1.21,6852.0,0.09,0.1,4291.0,5269.0,1.12,1.16,1.18,1.2,0,7,4
dupreeh,79.8,0.14,78.7,0.14,78.7,0.63,0.63,3.2,49.7,1.19,1.17,73.7,0.73,0.73,160.0,1.17,1.17,4113.0,0.1,0.08,2576.0,3012.0,1.15,1.16,1.16,1.17,79.8,0.63,0.63,3.3,49.8,1.2,1.17,73.4,0.74,0.74,83.0,0.14,83.0,0.6,0.6,4.3,47.3,1.32,1.29,75.6,0.78,0.78,18.0,1.26,1.26,468.0,0.12,0.1,282.0,364.0,1.23,1.22,1.25,1.26,258.0,1.17,1.17,6719.0,0.1,0.08,4232.0,4949.0,1.16,1.17,1.16,1.17,1,8,5
NAF,82.6,0.16,83.9,0.16,83.9,0.64,0.64,6.1,43.8,1.17,1.15,72.8,0.73,0.73,153.0,1.17,1.17,3897.0,0.1,0.11,2480.0,2860.0,1.1,1.17,1.16,1.17,82.6,0.62,0.62,6.2,42.3,1.14,1.18,73.9,0.73,0.73,85.2,0.16,85.2,0.63,0.63,6.2,44.8,1.07,1.22,76.6,0.77,0.77,17.0,1.2,1.2,441.0,0.11,0.12,278.0,339.0,0.96,1.18,1.17,1.22,284.0,1.18,1.18,7285.0,0.1,0.11,4515.0,5312.0,1.1,1.16,1.16,1.17,2,9,6
Magisk,78.9,0.15,79.5,0.16,79.5,0.61,0.61,6.5,49.1,1.16,1.18,74.5,0.72,0.72,156.0,1.17,1.17,4019.0,0.08,0.1,2441.0,2884.0,1.15,1.16,1.16,1.17,78.9,0.61,0.61,6.3,49.5,1.14,1.18,74.5,0.72,0.72,77.9,0.19,77.9,0.6,0.6,7.0,44.9,1.21,1.09,76.7,0.66,0.66,14.0,1.17,1.17,374.0,0.11,0.09,226.0,247.0,1.1,1.16,1.16,1.17,254.0,1.16,1.16,6625.0,0.08,0.1,4026.0,4741.0,1.13,1.15,1.16,1.16,1,9,7
gla1ve,77.1,0.16,78.4,0.16,78.4,0.62,0.62,7.6,46.2,1.12,1.13,73.0,0.7,0.7,160.0,1.14,1.14,4113.0,0.09,0.08,2549.0,2879.0,1.12,1.13,1.13,1.14,77.1,0.62,0.62,7.5,45.8,1.09,1.1,72.7,0.69,0.69,71.4,0.14,71.4,0.62,0.62,8.0,48.8,1.04,1.02,71.2,0.64,0.64,18.0,1.05,1.05,468.0,0.1,0.1,292.0,299.0,1.01,1.03,1.04,1.05,258.0,1.11,1.11,6719.0,0.09,0.08,4191.0,4612.0,1.09,1.11,1.11,1.12,0,9,8
KRIMZ,82.0,0.14,85.0,0.14,85.0,0.67,0.67,2.7,40.4,1.16,1.16,71.7,0.78,0.78,94.0,1.16,1.16,2481.0,0.07,0.12,1670.0,1930.0,1.11,1.14,1.14,1.15,82.0,0.68,0.68,3.1,41.9,1.11,1.09,70.8,0.74,0.74,89.4,0.14,89.4,0.68,0.68,1.5,39.8,1.31,1.23,70.8,0.84,0.84,15.0,1.23,1.23,387.0,0.1,0.14,263.0,324.0,1.18,1.21,1.21,1.23,210.0,1.11,1.11,5570.0,0.08,0.11,3763.0,4117.0,1.06,1.07,1.09,1.1,1,4,9
coldzera,79.7,0.1,79.1,0.1,79.1,0.61,0.61,2.3,48.7,1.1,1.26,73.0,0.77,0.77,141.0,1.16,1.16,3772.0,0.07,0.1,2317.0,2913.0,1.11,1.14,1.15,1.16,79.7,0.6,0.6,2.3,48.3,1.1,1.28,73.9,0.78,0.78,78.5,0.1,78.5,0.61,0.61,3.0,49.6,1.09,1.24,72.0,0.76,0.76,21.0,1.15,1.15,547.0,0.1,0.07,332.0,413.0,1.09,1.15,1.15,1.15,263.0,1.18,1.18,6911.0,0.08,0.1,4181.0,5366.0,1.11,1.14,1.14,1.16,0,5,10
