Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_damage__per__round,m_deaths__per__round,m_dpr,m_grenade_dmg__per__round,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_2.0,m_rounds_played,m_saved_by_teammate__per__round,m_saved_teammates__per__round,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5
NiKo,82.9,0.12,82.4,0.13,82.4,0.67,0.67,3.8,47.6,1.25,1.12,69.5,0.75,0.75,105.0,1.15,1.15,2770.0,0.08,0.1,1859.0,2087.0,1.13,1.13,1.14,1.14,82.9,0.67,0.67,4.1,48.2,1.24,1.14,69.6,0.77,0.77,79.4,0.15,79.4,0.68,0.68,4.2,44.4,1.16,1.04,68.8,0.71,0.71,16.0,1.09,1.09,429.0,0.07,0.09,291.0,304.0,1.09,1.05,1.08,1.09,165.0,1.16,1.16,4328.0,0.08,0.1,2893.0,3311.0,1.16,1.16,1.15,1.16
woxic,76.8,0.11,77.6,0.11,77.6,0.62,0.62,2.6,34.6,1.2,1.21,71.6,0.75,0.75,82.0,1.17,1.17,2226.0,0.08,0.09,1373.0,1663.0,1.16,1.14,1.14,1.15,76.8,0.61,0.61,2.1,34.5,1.21,1.21,71.1,0.74,0.74,74.4,0.09,74.4,0.67,0.67,1.6,34.1,1.06,1.06,68.2,0.7,0.7,17.0,1.06,1.06,466.0,0.09,0.08,310.0,328.0,1.06,1.06,1.06,1.06,201.0,1.16,1.16,5294.0,0.08,0.09,3237.0,3920.0,1.15,1.13,1.14,1.15
sergej,78.3,0.13,78.1,0.13,78.1,0.65,0.65,3.7,50.8,1.14,1.09,71.6,0.71,0.71,93.0,1.12,1.12,2463.0,0.1,0.11,1610.0,1755.0,1.1,1.09,1.1,1.12,78.3,0.65,0.65,3.5,52.8,1.13,1.11,72.2,0.72,0.72,78.2,0.15,78.2,0.67,0.67,3.4,50.3,1.09,1.01,71.2,0.67,0.67,29.0,1.08,1.08,758.0,0.1,0.1,505.0,509.0,1.09,1.07,1.08,1.08,168.0,1.13,1.13,4399.0,0.1,0.11,2843.0,3163.0,1.1,1.09,1.1,1.11
Xyp9x,75.2,0.16,73.7,0.15,73.7,0.58,0.58,7.4,39.9,0.97,1.13,74.7,0.66,0.66,126.0,1.1,1.1,3322.0,0.08,0.09,1933.0,2176.0,1.06,1.07,1.07,1.1,75.2,0.58,0.58,7.7,39.7,1.01,1.15,74.7,0.67,0.67,79.1,0.15,79.1,0.56,0.56,7.4,40.0,1.08,1.29,76.8,0.72,0.72,24.0,1.2,1.2,647.0,0.08,0.11,360.0,463.0,1.17,1.17,1.17,1.2,159.0,1.12,1.12,4170.0,0.08,0.09,2428.0,2787.0,1.07,1.08,1.08,1.11
jks,81.2,0.13,78.9,0.12,78.9,0.64,0.64,5.5,54.4,1.12,1.13,70.1,0.72,0.72,98.0,1.12,1.12,2558.0,0.08,0.11,1626.0,1835.0,1.09,1.11,1.11,1.12,81.2,0.63,0.63,5.6,55.5,1.16,1.18,71.4,0.74,0.74,80.0,0.12,80.0,0.62,0.62,5.1,55.9,1.13,1.19,70.1,0.73,0.73,28.0,1.14,1.14,760.0,0.08,0.11,468.0,556.0,1.1,1.14,1.14,1.14,148.0,1.16,1.16,3841.0,0.08,0.11,2417.0,2842.0,1.09,1.11,1.12,1.15
dupreeh,74.2,0.13,73.9,0.12,73.9,0.62,0.62,3.7,48.9,1.11,1.14,72.2,0.71,0.71,126.0,1.11,1.11,3322.0,0.09,0.09,2067.0,2357.0,1.07,1.09,1.09,1.11,74.2,0.62,0.62,3.8,49.2,1.1,1.15,72.9,0.71,0.71,76.8,0.13,76.8,0.6,0.6,4.1,48.3,1.15,1.21,73.0,0.72,0.72,24.0,1.16,1.16,647.0,0.09,0.08,386.0,466.0,1.13,1.16,1.16,1.16,159.0,1.12,1.12,4170.0,0.09,0.09,2575.0,2952.0,1.07,1.09,1.09,1.11
KRIMZ,77.3,0.14,77.5,0.14,77.5,0.64,0.64,3.4,41.2,1.08,1.1,71.8,0.71,0.71,114.0,1.11,1.11,3113.0,0.08,0.1,1990.0,2195.0,1.11,1.11,1.11,1.11,77.3,0.64,0.64,3.5,40.6,1.07,1.1,72.0,0.71,0.71,82.7,0.16,82.7,0.62,0.62,4.0,42.4,1.04,1.16,72.3,0.72,0.72,7.0,1.15,1.15,173.0,0.06,0.11,108.0,125.0,0.0,0.93,1.1,1.15,196.0,1.1,1.1,5295.0,0.08,0.1,3408.0,3736.0,1.11,1.09,1.09,1.1
CeRq,72.6,0.1,71.7,0.1,71.7,0.62,0.62,2.2,28.5,1.1,1.14,71.7,0.71,0.71,139.0,1.1,1.1,3762.0,0.09,0.11,2334.0,2659.0,1.1,1.1,1.1,1.1,72.6,0.61,0.61,2.2,27.8,1.12,1.18,72.8,0.72,0.72,71.6,0.1,71.6,0.58,0.58,1.8,26.3,1.1,1.21,73.6,0.71,0.71,21.0,1.14,1.14,613.0,0.08,0.09,358.0,433.0,1.09,1.05,1.13,1.16,228.0,1.13,1.13,5995.0,0.09,0.1,3652.0,4303.0,1.09,1.09,1.11,1.12
Brollan,78.1,0.12,77.0,0.12,77.0,0.67,0.67,4.2,51.2,1.17,1.07,70.3,0.71,0.71,114.0,1.1,1.1,3113.0,0.09,0.08,2074.0,2214.0,1.05,1.09,1.09,1.1,78.1,0.67,0.67,4.4,51.8,1.18,1.09,70.7,0.72,0.72,78.8,0.09,78.8,0.72,0.72,4.2,56.2,1.12,1.02,68.8,0.74,0.74,7.0,1.07,1.07,173.0,0.09,0.1,125.0,128.0,0.0,0.93,1.09,1.07,206.0,1.12,1.12,5543.0,0.09,0.09,3690.0,4012.0,1.06,1.08,1.1,1.11
Ethan,81.2,0.16,79.9,0.15,79.9,0.67,0.67,4.8,48.9,1.11,1.02,70.7,0.69,0.69,139.0,1.09,1.09,3762.0,0.1,0.11,2539.0,2582.0,1.06,1.08,1.09,1.09,81.2,0.66,0.66,4.9,48.2,1.14,1.07,72.1,0.7,0.7,81.4,0.17,81.4,0.63,0.63,4.1,48.1,1.13,1.11,73.2,0.7,0.7,21.0,1.15,1.15,613.0,0.1,0.1,388.0,432.0,0.92,0.99,1.11,1.15,229.0,1.13,1.13,6023.0,0.1,0.11,3953.0,4242.0,1.06,1.08,1.09,1.12
