Player,Rating,DPR,KAST,Impact,ADR,KPR
⁠ZywOo⁠,1.3,0.61,74.8,1.39,85.8,0.81
⁠s1mple⁠,1.29,0.6,73.9,1.35,84.4,0.85
device,1.2,0.62,71.6,1.27,80.5,0.77
⁠NiKo⁠,1.19,0.67,70.5,1.29,86.1,0.77
⁠electronic⁠,1.14,0.65,70.8,1.18,80.8,0.72
blameF,1.23,0.57,75.6,1.2,83.7,0.75
⁠ropz⁠,1.17,0.63,72.5,1.14,81.2,0.78
EliGE,1.17,0.68,70.5,1.29,84.2,0.76
dupreeh,1.1,0.64,71.2,1.1,75.2,0.7
⁠syrsoN⁠,1.16,0.6,70.6,1.24,73.9,0.73
⁠Magisk⁠,1.1,0.64,72.2,1.09,76.5,0.69
⁠stavn⁠,1.13,0.66,72.6,1.11,80.9,0.72
huNter-,1.12,0.68,69.7,1.17,81.0,0.73
⁠yuurih⁠,1.16,0.62,74.0,1.11,80.4,0.75
⁠Brollan,1.12,0.67,70.2,1.2,78.9,0.74
⁠HEN1⁠,1.14,0.57,74.6,1.03,74.6,0.69
KRIMZ,1.08,0.64,72.2,1.01,77.2,0.7
⁠KSCERATO⁠,1.15,0.58,75.3,1.03,75.9,0.7
⁠jks⁠,1.13,0.63,73.6,1.08,79.0,0.7
Brehze⁠,1.16,0.64,73.0,1.12,79.1,0.76
