Player,Rating,DPR,KAST,Impact,ADR,KPR
⁠s1mple⁠,1.25,0.61,73.6,1.32,82.9,0.83
⁠ZywOo⁠,1.27,0.59,76.0,1.31,82.1,0.8
⁠sh1ro⁠,1.28,0.52,77.3,1.22,79.2,0.79
⁠Ax1Le⁠,1.21,0.62,73.6,1.22,84.2,0.75
⁠NiKo⁠,1.22,0.65,72.0,1.31,87.2,0.77
broky,1.16,0.59,73.9,1.08,75.0,0.75
m0NESY,1.17,0.59,73.4,1.17,73.4,0.74
ropz,1.14,0.59,72.7,1.09,74.9,0.72
⁠KSCERATO⁠,1.17,0.59,73.3,1.13,79.5,0.72
⁠stavn⁠,1.18,0.64,73.3,1.19,83.7,0.75
Twistzz,1.12,0.61,73.4,1.05,75.9,0.69
⁠blameF⁠,1.24,0.62,73.0,1.31,87.5,0.79
⁠rain⁠,1.09,0.68,69.5,1.16,79.2,0.69
huNter-,1.13,0.64,72.0,1.09,79.1,0.73
⁠YEKINDAR⁠,1.14,0.69,68.8,1.32,83.1,0.74
b1t,1.1,0.63,71.8,1.1,74.8,0.68
⁠frozen⁠,1.17,0.58,74.4,1.11,78.4,0.71
Spinx,1.1,0.64,71.1,1.09,76.9,0.72
yuurih,1.13,0.62,72.1,1.07,80.9,0.71
Jame,1.12,0.51,75.0,0.98,66.1,0.66
electroNic,1.08,0.67,69.9,1.12,78.6,0.69
⁠EliGE⁠,1.13,0.68,71.5,1.18,82.2,0.74
NAF,1.14,0.61,74.5,0.98,80.3,0.71
degster,1.19,0.58,74.6,1.13,76.3,0.76
SunPayus,1.16,0.57,74.4,1.11,72.8,0.72
⁠k0nfig⁠,1.06,0.71,67.7,1.14,78.8,0.72
FL1T,1.13,0.63,71.7,1.1,80.4,0.71
syrsoN,1.16,0.59,70.9,1.22,73.8,0.72
cadiaN,1.09,0.59,72.1,1.06,70.1,0.66
REZ,1.11,0.64,71.8,1.12,75.9,0.7
