Player,Rating,DPR,KAST,Impact,ADR,KPR
ZywOo,1.3,0.57,76.7,1.36,82.6,0.81
⁠NiKo⁠,1.2,0.63,72.8,1.27,83.7,0.76
ropz,1.17,0.61,73.2,1.13,80.0,0.75
m0NESY,1.18,0.59,73.3,1.19,75.4,0.75
Spinx,1.18,0.61,75.1,1.14,79.3,0.75
SunPayus,1.13,0.58,73.5,1.1,71.5,0.71
⁠s1mple⁠,1.18,0.61,72.6,1.18,77.4,0.75
sh1ro,1.24,0.55,75.7,1.18,77.3,0.78
stavn,1.15,0.65,73.9,1.14,81.1,0.73
⁠broky⁠,1.13,0.61,74.0,1.04,73.9,0.73
device,1.22,0.59,72.9,1.27,79.3,0.77
frozen,1.2,0.58,75.1,1.13,82.6,0.73
huNter-⁠,1.09,0.65,72.0,1.04,76.5,0.7
NertZ,1.16,0.64,72.1,1.21,79.9,0.74
⁠jabbi⁠,1.1,0.64,73.0,1.11,73.6,0.69
blameF,1.23,0.58,74.6,1.23,83.6,0.75
Magisk,1.12,0.62,74.0,1.06,77.5,0.68
cadiaN,1.09,0.58,71.7,1.06,71.1,0.66
KSCERATO,1.18,0.59,75.4,1.12,80.4,0.72
Twistzz,1.1,0.63,73.7,1.03,74.3,0.68
torzsi,1.12,0.57,73.5,1.07,69.5,0.7
electroNic,1.1,0.69,70.9,1.18,78.8,0.7
⁠EliGE⁠,1.13,0.66,72.2,1.17,81.0,0.72
rain,1.06,0.69,70.2,1.11,77.3,0.67
xertioN,1.1,0.7,70.8,1.18,80.0,0.7
⁠Ax1Le⁠,1.14,0.65,72.6,1.15,80.3,0.73
sdy,1.12,0.64,73.2,1.08,78.7,0.71
⁠b1t⁠,1.09,0.62,72.3,1.05,73.0,0.68
iM,1.13,0.67,70.7,1.18,80.8,0.73
NAF,1.11,0.6,74.2,0.95,78.3,0.68
