Player,Rating,DPR,KAST,Impact,ADR,KPR
s1mple,1.35,0.6,76.0,1.43,88.2,0.88
⁠ZywOo⁠,1.29,0.6,74.9,1.37,84.8,0.82
NiKo,1.21,0.66,71.2,1.33,86.5,0.78
sh1ro,1.24,0.52,76.5,1.17,76.2,0.76
⁠Ax1Le⁠,1.17,0.62,72.6,1.17,81.1,0.73
HObbit,1.18,0.63,72.8,1.21,82.3,0.74
electroNic,1.14,0.64,72.3,1.15,80.1,0.71
YEKINDAR,1.15,0.71,68.0,1.36,84.6,0.74
⁠b1t⁠,1.1,0.6,72.9,1.04,72.5,0.68
⁠Jame⁠,1.17,0.53,74.3,1.08,71.9,0.71
device,1.14,0.63,69.9,1.22,77.1,0.73
huNter-,1.11,0.67,70.4,1.1,79.9,0.74
blameF,1.17,0.62,72.6,1.15,82.3,0.72
NAF,1.14,0.61,73.5,1.03,80.1,0.71
KSCERATO,1.17,0.61,73.1,1.15,80.4,0.74
stavn,1.1,0.66,71.4,1.08,79.8,0.7
Twistzz,1.13,0.63,73.0,1.09,77.2,0.73
ropz,1.18,0.62,72.2,1.19,80.4,0.77
⁠EliGE⁠,1.14,0.68,71.1,1.21,82.9,0.74
broky,1.1,0.62,71.6,1.02,73.8,0.71
