Player,Rating,DPR,KAST,Impact,ADR,KPR
donk,1.37,0.68,75.9,1.57,96.8,0.92
m0NESY,1.27,0.59,76.7,1.29,82.7,0.82
ZywOo,1.35,0.59,77.7,1.42,88.9,0.86
⁠NiKo⁠,1.17,0.64,73.7,1.24,82.3,0.74
jL,1.13,0.64,73.9,1.16,78.5,0.72
sh1ro,1.18,0.55,76.6,1.1,76.4,0.76
flameZ,1.11,0.65,75.5,1.17,74.7,0.68
broky,1.1,0.61,75.7,1.0,73.1,0.72
b1t,1.13,0.64,74.6,1.12,78.4,0.73
frozen,1.13,0.63,74.5,1.14,81.0,0.71
w0nderful,1.12,0.58,74.8,1.05,72.9,0.72
malbsMd,1.23,0.68,74.3,1.4,85.2,0.79
Spinx,1.13,0.62,75.5,1.1,78.2,0.74
xertioN,1.13,0.69,72.2,1.25,81.7,0.72
XANTARES,1.2,0.65,74.9,1.34,85.8,0.75
iM,1.09,0.67,70.5,1.14,79.3,0.7
Jimpphat,1.12,0.6,76.7,1.02,76.5,0.71
ropz,1.1,0.62,74.3,1.05,75.9,0.73
EliGE,1.18,0.68,72.9,1.32,85.3,0.78
torzsi,1.09,0.59,72.5,1.03,71.7,0.72
NertZ,1.14,0.66,72.4,1.22,81.4,0.75
Brollan,1.09,0.66,72.7,1.12,76.7,0.68
Twistzz,1.15,0.62,76.1,1.13,79.7,0.73
KSCERATO,1.13,0.6,74.7,1.1,80.9,0.7
zont1x,1.08,0.63,74.9,1.05,76.1,0.66
device,1.08,0.59,72.1,1.07,73.9,0.68
NAF,1.14,0.6,76.7,1.06,80.7,0.72
Senzu,1.16,0.65,72.5,1.24,80.7,0.74
woxic,1.08,0.59,73.0,1.05,71.1,0.69
⁠stavn⁠,1.1,0.68,71.7,1.13,81.4,0.71
