Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_damage__per__round,m_deaths__per__round,m_dpr,m_grenade_dmg__per__round,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_1.0,m_rating_2.0,m_rounds_played,m_saved_by_teammate__per__round,m_saved_teammates__per__round,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5,MVPs,EVPs,Rank
cadiaN,71.1,0.12,71.6,0.12,71.6,0.58,0.58,7.5,29.8,1.07,1.12,71.2,0.66,0.66,99.0,1.09,1.09,2651.0,0.08,0.09,1549.0,1737.0,1.1,1.07,1.08,1.08,71.1,0.58,0.58,7.3,29.4,1.06,1.13,71.7,0.66,0.66,75.0,0.12,75.0,0.57,0.57,7.2,34.1,1.19,1.25,71.9,0.71,0.71,11.0,1.16,-1.0,1.16,292.0,0.04,0.1,167.0,208.0,1.19,1.19,1.16,1.16,125.0,1.09,1.09,3312.0,0.08,0.09,1926.0,2185.0,1.09,1.07,1.08,1.08,0,0,18
KSCERATO,80.4,0.15,82.0,0.15,82.0,0.58,0.58,6.8,46.3,1.17,1.26,75.4,0.73,0.73,49.0,1.21,1.21,1308.0,0.1,0.09,755.0,954.0,1.16,1.11,1.13,1.19,80.4,0.59,0.59,6.3,50.1,1.12,1.22,75.4,0.72,0.72,71.0,0.1,71.0,0.62,0.62,6.2,49.0,0.95,0.88,64.9,0.54,0.54,4.0,0.97,-1.0,0.97,94.0,0.02,0.07,58.0,51.0,0.93,1.02,0.97,0.97,140.0,1.18,1.18,3516.0,0.08,0.09,2061.0,2521.0,1.17,1.13,1.13,1.17,0,0,19
Twistzz,74.3,0.14,73.7,0.14,73.7,0.63,0.63,5.2,57.9,1.0,1.07,73.1,0.67,0.67,111.0,1.08,1.08,2834.0,0.1,0.11,1776.0,1902.0,1.05,1.04,1.06,1.06,74.3,0.63,0.63,5.1,57.5,1.03,1.09,73.7,0.68,0.68,72.1,0.14,72.1,0.67,0.67,6.0,53.0,0.94,0.93,71.7,0.63,0.63,20.0,1.01,-1.0,1.01,551.0,0.15,0.1,371.0,345.0,0.95,1.01,1.01,1.01,168.0,1.1,1.1,4300.0,0.1,0.11,2691.0,2941.0,1.07,1.06,1.08,1.09,0,0,20
torzsi,69.5,0.09,68.1,0.08,68.1,0.57,0.57,2.3,33.2,1.03,1.21,73.4,0.69,0.69,81.0,1.11,1.11,2037.0,0.09,0.09,1151.0,1397.0,1.06,1.06,1.1,1.11,69.5,0.57,0.57,2.5,32.0,1.07,1.22,73.5,0.7,0.7,63.1,0.07,63.1,0.67,0.67,1.0,20.0,0.7,0.88,64.4,0.59,0.59,4.0,0.86,-1.0,0.86,101.0,0.09,0.09,68.0,60.0,-1.0,0.82,0.82,0.86,143.0,1.12,1.12,3522.0,0.08,0.09,2015.0,2463.0,1.09,1.05,1.1,1.11,1,0,21
electroNic,78.8,0.16,80.5,0.17,80.5,0.69,0.69,4.8,48.5,1.22,1.03,70.0,0.72,0.72,95.0,1.11,1.11,2463.0,0.11,0.11,1707.0,1764.0,1.05,1.09,1.1,1.1,78.8,0.69,0.69,4.9,48.6,1.18,1.02,70.9,0.7,0.7,75.9,0.15,75.9,0.74,0.74,4.5,46.2,1.2,0.92,67.0,0.68,0.68,8.0,1.03,-1.0,1.03,212.0,0.11,0.08,157.0,145.0,0.96,1.01,0.99,1.03,145.0,1.1,1.1,3685.0,0.12,0.1,2530.0,2575.0,1.04,1.08,1.09,1.09,0,0,22
EliGE,81.0,0.16,78.1,0.16,78.1,0.67,0.67,4.2,53.0,1.12,1.04,71.0,0.7,0.7,78.0,1.09,1.09,2009.0,0.1,0.12,1350.0,1403.0,1.1,1.09,1.08,1.09,81.0,0.66,0.66,4.8,49.8,1.17,1.09,72.2,0.72,0.72,73.0,0.14,73.0,0.65,0.65,3.8,51.7,1.0,0.99,73.6,0.65,0.65,18.0,1.05,-1.0,1.05,485.0,0.11,0.1,317.0,315.0,0.93,1.02,1.07,1.05,162.0,1.13,1.13,4084.0,0.1,0.12,2695.0,2947.0,1.08,1.08,1.09,1.11,0,0,23
rain,77.3,0.16,78.0,0.16,78.0,0.68,0.68,6.0,59.3,1.12,0.98,70.4,0.67,0.67,120.0,1.07,1.07,3038.0,0.09,0.08,2080.0,2047.0,1.04,1.06,1.06,1.06,77.3,0.69,0.69,5.6,58.3,1.11,0.97,70.2,0.67,0.67,73.9,0.14,73.9,0.72,0.72,4.7,53.2,1.1,0.9,69.0,0.64,0.64,20.0,1.02,-1.0,1.02,551.0,0.12,0.1,394.0,355.0,0.99,1.02,1.02,1.02,170.0,1.06,1.06,4335.0,0.1,0.08,2977.0,2897.0,1.04,1.06,1.06,1.06,1,0,24
xertioN,80.0,0.16,80.1,0.15,80.1,0.7,0.7,5.2,52.2,1.18,1.0,70.1,0.7,0.7,81.0,1.09,1.09,2037.0,0.09,0.08,1420.0,1425.0,1.04,1.09,1.09,1.09,80.0,0.7,0.7,5.1,53.3,1.18,1.01,70.8,0.7,0.7,81.4,0.11,81.4,0.75,0.75,4.0,56.5,0.98,0.91,64.4,0.68,0.68,4.0,1.0,-1.0,1.0,101.0,0.09,0.09,76.0,69.0,-1.0,1.07,1.07,1.0,143.0,1.1,1.1,3522.0,0.1,0.08,2451.0,2477.0,1.06,1.08,1.08,1.09,0,0,25
Ax1Le,80.3,0.14,79.0,0.14,79.0,0.68,0.68,6.3,48.6,1.13,1.04,70.5,0.71,0.71,81.0,1.09,1.09,2045.0,0.09,0.09,1389.0,1448.0,1.08,1.06,1.07,1.09,80.3,0.65,0.65,6.0,49.7,1.15,1.13,72.6,0.73,0.73,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,175.0,1.14,1.14,4493.0,0.08,0.1,2912.0,3277.0,1.09,1.1,1.12,1.14,0,0,26
sdy,78.7,0.15,78.1,0.16,78.1,0.65,0.65,5.0,42.9,1.03,1.09,72.4,0.71,0.71,46.0,1.09,1.09,1181.0,0.1,0.1,766.0,834.0,1.14,1.12,1.1,1.1,78.7,0.64,0.64,4.9,47.1,1.08,1.12,73.2,0.71,0.71,76.3,0.14,76.3,0.62,0.62,4.2,42.5,0.86,1.13,73.5,0.71,0.71,16.0,1.06,-1.0,1.06,407.0,0.08,0.11,254.0,287.0,1.12,1.14,1.06,1.06,346.0,1.12,1.12,9022.0,0.1,0.1,5732.0,6419.0,1.12,1.1,1.08,1.08,1,0,27
b1t,73.0,0.11,73.0,0.12,73.0,0.63,0.63,3.5,64.2,1.07,1.09,71.9,0.68,0.68,99.0,1.09,1.09,2520.0,0.09,0.09,1580.0,1717.0,1.07,1.07,1.07,1.07,73.0,0.62,0.62,3.3,64.3,1.05,1.09,72.3,0.68,0.68,72.0,0.11,72.0,0.69,0.69,4.6,69.1,0.95,0.93,68.9,0.64,0.64,8.0,1.0,-1.0,1.0,212.0,0.08,0.08,146.0,136.0,1.0,1.07,0.95,1.0,131.0,1.09,1.09,3394.0,0.09,0.09,2120.0,2311.0,1.05,1.06,1.07,1.07,0,0,28
iM,80.8,0.14,78.1,0.14,78.1,0.67,0.67,3.3,47.0,1.14,1.04,69.9,0.7,0.7,65.0,1.09,1.09,1594.0,0.08,0.07,1071.0,1110.0,1.06,1.08,1.09,1.09,80.8,0.67,0.67,3.5,43.8,1.18,1.08,70.7,0.73,0.73,86.5,0.13,86.5,0.64,0.64,3.0,42.7,1.35,1.23,72.5,0.79,0.79,21.0,1.25,-1.0,1.25,542.0,0.09,0.1,348.0,429.0,1.22,1.26,1.25,1.25,176.0,1.13,1.13,4557.0,0.08,0.08,3063.0,3307.0,1.02,1.05,1.06,1.08,0,0,29
NAF,78.3,0.14,77.5,0.14,77.5,0.6,0.6,6.3,41.3,0.92,1.12,74.3,0.67,0.67,58.0,1.1,1.1,1617.0,0.09,0.1,975.0,1089.0,1.05,1.04,1.07,1.09,78.3,0.6,0.6,6.1,41.3,0.95,1.13,74.2,0.68,0.68,84.1,0.15,84.1,0.58,0.58,6.0,40.3,1.1,1.24,77.7,0.72,0.72,18.0,1.23,-1.0,1.23,485.0,0.11,0.1,283.0,350.0,1.19,1.26,1.23,1.23,114.0,1.11,1.11,3097.0,0.09,0.11,1873.0,2115.0,1.07,1.04,1.08,1.11,0,0,30
