Player,adr,assists__per__round,b_adr,b_assists__per__round,b_damage__per__round,b_deaths__per__round,b_dpr,b_grenade_dmg__per__round,b_headshot_%,b_impact,b_k_per_d_ratio,b_kast,b_kills__per__round,b_kpr,b_maps_played,b_rating,b_rating_1.0,b_rating_2.0,b_rounds_played,b_saved_by_teammate__per__round,b_saved_teammates__per__round,b_total_deaths,b_total_kills,b_vs_top10,b_vs_top20,b_vs_top30,b_vs_top5,damage__per__round,deaths__per__round,dpr,grenade_dmg__per__round,headshot_%,impact,k_per_d_ratio,kast,kills__per__round,kpr,m_adr,m_assists__per__round,m_deaths__per__round,m_dpr,m_headshot_%,m_impact,m_k_per_d_ratio,m_kast,m_kills__per__round,m_kpr,m_maps_played,m_rating,m_rating_1.0,m_rounds_played,m_total_deaths,m_total_kills,m_vs_top10,m_vs_top20,m_vs_top30,m_vs_top5,maps_played,rating,rating_2.0,rounds_played,saved_by_teammate__per__round,saved_teammates__per__round,total_deaths,total_kills,vs_top10,vs_top20,vs_top30,vs_top5,MVPs,EVPs,Rank
Magisk,76.5,0.15,85.1,0.18,85.1,0.62,0.62,6.2,35.5,1.24,1.19,74.0,0.75,0.75,8.0,1.21,-1.0,1.21,208.0,0.11,0.07,130.0,155.0,1.22,1.21,1.21,1.21,76.5,0.64,0.64,6.9,45.9,1.09,1.07,72.2,0.69,0.69,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,191.0,1.1,1.1,5058.0,0.09,0.09,3233.0,3471.0,1.08,1.09,1.09,1.09,0,0,11
stavn,80.9,0.14,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,80.9,0.66,0.66,5.4,41.9,1.11,1.1,72.6,0.72,0.72,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,243.0,1.13,1.13,6551.0,0.1,0.11,4291.0,4741.0,1.1,1.1,1.11,1.11,0,0,12
huNter-,81.0,0.13,85.4,0.14,85.4,0.68,0.68,7.6,55.5,1.14,1.11,73.6,0.75,0.75,13.0,1.17,-1.0,1.17,314.0,0.12,0.15,213.0,236.0,1.17,1.17,1.17,1.17,81.0,0.68,0.68,5.6,52.6,1.17,1.08,69.7,0.73,0.73,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,194.0,1.12,1.12,5222.0,0.1,0.11,3544.0,3832.0,1.07,1.08,1.1,1.12,0,0,13
yuurih,80.4,0.14,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,80.4,0.62,0.62,4.9,46.7,1.11,1.19,74.0,0.75,0.75,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,188.0,1.16,1.16,4934.0,0.09,0.12,3083.0,3681.0,1.12,1.14,1.15,1.15,3,0,14
Brollan,78.9,0.12,73.1,0.11,73.1,0.65,0.65,4.3,51.3,1.15,1.04,67.9,0.67,0.67,12.0,1.05,-1.0,1.05,333.0,0.06,0.09,215.0,224.0,0.99,0.99,1.05,1.05,78.9,0.67,0.67,4.9,51.3,1.2,1.11,70.2,0.74,0.74,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,199.0,1.12,1.12,5388.0,0.08,0.08,3599.0,3999.0,1.08,1.1,1.1,1.11,1,0,15
HEN1,74.6,0.12,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,74.6,0.57,0.57,4.5,32.4,1.03,1.21,74.6,0.69,0.69,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,184.0,1.14,1.14,4820.0,0.07,0.09,2750.0,3338.0,1.15,1.13,1.14,1.14,1,0,16
KRIMZ,77.2,0.14,74.4,0.11,74.4,0.58,0.58,5.2,38.2,1.08,1.24,71.2,0.71,0.71,12.0,1.13,-1.0,1.13,333.0,0.07,0.08,192.0,238.0,1.17,1.17,1.13,1.13,77.2,0.64,0.64,5.7,42.6,1.01,1.09,72.2,0.7,0.7,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,196.0,1.08,1.08,5317.0,0.08,0.11,3407.0,3707.0,1.07,1.07,1.07,1.08,0,0,17
KSCERATO,75.9,0.14,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,75.9,0.58,0.58,6.2,47.2,1.03,1.22,75.3,0.7,0.7,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,188.0,1.15,1.15,4934.0,0.08,0.1,2851.0,3469.0,1.15,1.13,1.13,1.14,0,0,18
jks,79.0,0.15,81.3,0.16,81.3,0.62,0.62,6.6,52.0,1.14,1.14,72.0,0.71,0.71,12.0,1.15,-1.0,1.15,322.0,0.07,0.13,201.0,229.0,1.09,1.09,1.15,1.15,79.0,0.63,0.63,7.3,54.1,1.08,1.12,73.6,0.7,0.7,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,151.0,1.13,1.13,3992.0,0.09,0.12,2511.0,2807.0,1.09,1.11,1.12,1.12,0,0,19
Brehze,79.1,0.12,80.1,0.14,80.1,0.67,0.67,1.8,51.1,1.22,1.13,71.4,0.76,0.76,9.0,1.14,-1.0,1.14,241.0,0.11,0.12,161.0,182.0,0.99,1.14,1.14,1.14,79.1,0.64,0.64,2.6,51.9,1.12,1.2,73.0,0.76,0.76,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,145.0,1.16,1.16,3841.0,0.09,0.12,2442.0,2928.0,1.05,1.1,1.12,1.13,1,0,20
