Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
donk,21167,1.37,0.68,75.9,1.57,96.8,0.92,1,5,3
m0NESY,19230,1.27,0.59,76.7,1.29,82.7,0.82,2,3,5
ZywOo,11893,1.35,0.59,77.7,1.42,88.9,0.86,3,2,7
NiKo,3741,1.17,0.64,73.7,1.24,82.3,0.74,4,0,6
jL,19206,1.13,0.64,73.9,1.16,78.5,0.72,5,2,4
sh1ro,16920,1.18,0.55,76.6,1.1,76.4,0.76,6,0,7
flameZ,16693,1.11,0.65,75.5,1.17,74.7,0.68,7,0,4
broky,18053,1.1,0.61,75.7,1.0,73.1,0.72,8,1,4
b1t,18987,1.13,0.64,74.6,1.12,78.4,0.73,9,1,3
frozen,9960,1.13,0.63,74.5,1.14,81.0,0.71,10,0,3
w0nderful,20127,1.12,0.58,74.8,1.05,72.9,0.72,11,0,4
malbsMd,11617,1.23,0.68,74.3,1.4,85.2,0.79,12,0,2
Spinx,18221,1.13,0.62,75.5,1.1,78.2,0.74,13,0,2
xertioN,20312,1.13,0.69,72.2,1.25,81.7,0.72,14,0,3
XANTARES,7938,1.2,0.65,74.9,1.34,85.8,0.75,15,0,2
iM,14759,1.09,0.67,70.5,1.14,79.3,0.7,16,1,2
Jimpphat,18850,1.12,0.6,76.7,1.02,76.5,0.71,17,0,5
ropz,11816,1.1,0.62,74.3,1.05,75.9,0.73,18,0,1
EliGE,8738,1.18,0.68,72.9,1.32,85.3,0.78,19,0,1
torzsi,18072,1.09,0.59,72.5,1.03,71.7,0.72,20,0,2
NertZ,9436,1.14,0.66,72.4,1.22,81.4,0.75,21,0,1
Brollan,13666,1.09,0.66,72.7,1.12,76.7,0.68,22,0,1
Twistzz,10394,1.15,0.62,76.1,1.13,79.7,0.73,23,0,0
KSCERATO,15631,1.13,0.6,74.7,1.1,80.9,0.7,24,0,2
zont1x,20423,1.08,0.63,74.9,1.05,76.1,0.66,25,0,2
device,7592,1.08,0.59,72.1,1.07,73.9,0.68,26,0,0
NAF,8520,1.14,0.6,76.7,1.06,80.7,0.72,27,0,0
Senzu,20903,1.16,0.65,72.5,1.24,80.7,0.74,28,0,1
woxic,8574,1.08,0.59,73.0,1.05,71.1,0.69,29,0,2
stavn,10994,1.1,0.68,71.7,1.13,81.4,0.71,30,0,1
