Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
ZywOo,11893,1.3,0.57,76.7,1.36,82.6,0.81,1,5,0
NiKo,3741,1.2,0.63,72.8,1.27,83.7,0.76,2,1,0
ropz,11816,1.17,0.61,73.2,1.13,80.0,0.75,3,3,0
m0NESY,19230,1.18,0.59,73.3,1.19,75.4,0.75,4,0,0
Spinx,18221,1.18,0.61,75.1,1.14,79.3,0.75,5,0,0
SunPayus,19164,1.13,0.58,73.5,1.1,71.5,0.71,6,1,0
s1mple,7998,1.18,0.61,72.6,1.18,77.4,0.75,7,0,0
sh1ro,16920,1.24,0.55,75.7,1.18,77.3,0.78,8,0,0
stavn,10994,1.15,0.65,73.9,1.14,81.1,0.73,9,0,0
broky,18053,1.13,0.61,74.0,1.04,73.9,0.73,10,0,0
device,7592,1.22,0.59,72.9,1.27,79.3,0.77,11,0,0
frozen,9960,1.2,0.58,75.1,1.13,82.6,0.73,12,0,0
huNter-,3972,1.09,0.65,72.0,1.04,76.5,0.7,13,1,0
NertZ,9436,1.16,0.64,72.1,1.21,79.9,0.74,14,0,0
jabbi,17956,1.1,0.64,73.0,1.11,73.6,0.69,15,1,0
blameF,15165,1.23,0.58,74.6,1.23,83.6,0.75,16,0,0
Magisk,9032,1.12,0.62,74.0,1.06,77.5,0.68,17,0,0
cadiaN,7964,1.09,0.58,71.7,1.06,71.1,0.66,18,0,0
KSCERATO,15631,1.18,0.59,75.4,1.12,80.4,0.72,19,0,0
Twistzz,10394,1.1,0.63,73.7,1.03,74.3,0.68,20,0,0
torzsi,18072,1.12,0.57,73.5,1.07,69.5,0.7,21,1,0
electroNic,8918,1.1,0.69,70.9,1.18,78.8,0.7,22,0,0
EliGE,8738,1.13,0.66,72.2,1.17,81.0,0.72,23,0,0
rain,8183,1.06,0.69,70.2,1.11,77.3,0.67,24,1,0
xertioN,20312,1.1,0.7,70.8,1.18,80.0,0.7,25,0,0
Ax1Le,16555,1.14,0.65,72.6,1.15,80.3,0.73,26,0,0
sdy,12731,1.12,0.64,73.2,1.08,78.7,0.71,27,1,0
b1t,18987,1.09,0.62,72.3,1.05,73.0,0.68,28,0,0
iM,14759,1.13,0.67,70.7,1.18,80.8,0.73,29,0,0
NAF,8520,1.11,0.6,74.2,0.95,78.3,0.68,30,0,0
