Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
s1mple,7998,1.25,0.61,73.6,1.32,82.9,0.83,1,2,2
ZywOo,11893,1.27,0.59,76.0,1.31,82.1,0.8,2,1,3
sh1ro,16920,1.28,0.52,77.3,1.22,79.2,0.79,3,1,2
Ax1Le,16555,1.21,0.62,73.6,1.22,84.2,0.75,4,1,0
NiKo,3741,1.22,0.65,72.0,1.31,87.2,0.77,5,0,3
broky,18053,1.16,0.59,73.9,1.08,75.0,0.75,6,2,2
m0NESY,19230,1.17,0.59,73.4,1.17,73.4,0.74,7,1,0
ropz,11816,1.14,0.59,72.7,1.09,74.9,0.72,8,1,3
KSCERATO,15631,1.17,0.59,73.3,1.13,79.5,0.72,9,0,1
stavn,10994,1.18,0.64,73.3,1.19,83.7,0.75,10,0,4
Twistzz,10394,1.12,0.61,73.4,1.05,75.9,0.69,11,0,4
blameF,15165,1.24,0.62,73.0,1.31,87.5,0.79,12,1,1
rain,8183,1.09,0.68,69.5,1.16,79.2,0.69,13,1,1
huNter-,3972,1.13,0.64,72.0,1.09,79.1,0.73,14,0,1
YEKINDAR,13915,1.14,0.69,68.8,1.32,83.1,0.74,15,0,2
b1t,18987,1.1,0.63,71.8,1.1,74.8,0.68,16,0,2
frozen,9960,1.17,0.58,74.4,1.11,78.4,0.71,17,0,1
Spinx,18221,1.1,0.64,71.1,1.09,76.9,0.72,18,0,1
yuurih,12553,1.13,0.62,72.1,1.07,80.9,0.71,19,0,2
Jame,13776,1.12,0.51,75.0,0.98,66.1,0.66,20,1,0
electroNic,8918,1.08,0.67,69.9,1.12,78.6,0.69,21,0,3
EliGE,8738,1.13,0.68,71.5,1.18,82.2,0.74,22,0,2
NAF,8520,1.14,0.61,74.5,0.98,80.3,0.71,23,0,0
degster,17306,1.19,0.58,74.6,1.13,76.3,0.76,24,0,2
SunPayus,19164,1.16,0.57,74.4,1.11,72.8,0.72,25,0,1
k0nfig,9078,1.06,0.71,67.7,1.14,78.8,0.72,26,0,0
FL1T,12732,1.13,0.63,71.7,1.1,80.4,0.71,27,0,1
syrsoN,7266,1.16,0.59,70.9,1.22,73.8,0.72,28,1,0
cadiaN,7964,1.09,0.59,72.1,1.06,70.1,0.66,29,0,2
REZ,9278,1.11,0.64,71.8,1.12,75.9,0.7,30,0,0
