Player,HLTV_ID,Rating,DPR,KAST,Impact,ADR,KPR,Rank,MVPs,EVPs
s1mple,7998,1.35,0.59,76.4,1.42,87.2,0.88,1,6,4
device,7592,1.23,0.6,72.5,1.31,81.4,0.79,2,7,1
NiKo,3741,1.22,0.64,72.1,1.27,84.8,0.8,3,2,7
electronic,8918,1.21,0.63,74.5,1.18,84.5,0.77,4,0,7
dupreeh,7398,1.17,0.63,73.4,1.2,79.8,0.74,5,1,8
NAF,8520,1.18,0.62,73.9,1.14,82.6,0.73,6,2,9
Magisk,9032,1.16,0.61,74.5,1.14,78.9,0.72,7,1,9
gla1ve,7412,1.11,0.62,72.7,1.09,77.1,0.69,8,0,9
KRIMZ,7528,1.11,0.68,70.8,1.11,82.0,0.74,9,1,4
coldzera,9216,1.18,0.6,73.9,1.1,79.7,0.78,10,0,5
GuardiaN,2757,1.1,0.62,70.0,1.11,71.8,0.72,11,1,4
Twistzz,10394,1.15,0.61,74.3,1.09,76.8,0.74,12,1,3
Xyp9x,4954,1.13,0.58,74.0,1.05,76.3,0.68,13,0,8
oskar,798,1.13,0.64,69.3,1.2,76.8,0.74,14,1,4
EliGE,8738,1.14,0.68,71.3,1.22,82.1,0.74,15,0,5
suNny,5479,1.12,0.67,70.1,1.14,81.4,0.73,16,0,4
autimatic,8735,1.14,0.65,71.7,1.14,79.2,0.76,17,0,2
rain,8183,1.09,0.68,70.4,1.14,78.9,0.69,18,0,4
ropz,11816,1.1,0.61,72.2,1.0,75.4,0.7,19,0,3
valde,9031,1.15,0.64,73.2,1.07,81.4,0.75,20,1,2
